name,id,url
一生独一 吉他轮指版,1821207859,http://m704.music.126.net/20220905225036/b4516cacfe2cbbfd22d91353e822ef40/jdyyaac/obj/w5rDlsOJwrLDjj7CmsOj/7512836580/d55f/2a2c/8b3c/82e8b2477572676928537e509dea9983.m4a?authSecret=000001830e0adcf1134a0aaba315264d
一场游戏一场梦,158924,http://m10.music.126.net/20220905225037/3d2f763a517667ee2eda2458e5c0890f/yyaac/obj/wonDkMOGw6XDiTHCmMOi/3036062435/05ca/31b3/ce70/1fc4d5dd68c154f0de335b0cd1ff1d45.m4a
用心良苦,190778,http://m704.music.126.net/20220905225037/c8c56da9947de3d8373a21fd7edeee7e/jdyyaac/0459/005a/0609/33ab8e49997074dc07b11c39b6aa8ebd.m4a?authSecret=000001830e0ae16e15760aaba31d1d49
倩女幽魂,186545,http://m704.music.126.net/20220905225038/87b45e3402b781f75b8123d0e792f059/jdyyaac/535a/010f/5353/d0af53fdcc6e8dce3e46d9cb9db90433.m4a?authSecret=000001830e0ae3831bbd0aaba246d73b
只愿一生爱一人,32689004,http://m704.music.126.net/20220905225038/1ff5c2146c9ac48a5f2e0fb0ed88782c/jdyyaac/510e/565d/525e/fd0f954de5a792cb35e5e431a4459d6d.m4a?authSecret=000001830e0ae5cc1dd80aaba3a723bc
偏偏喜欢你,400161446,http://m804.music.126.net/20220905225039/ad9ce679ab153f48e58c1a2a913e2fdb/jdyyaac/obj/w5rDlsOJwrLDjj7CmsOj/17122622103/4209/8533/cc0b/7a730f634cd8c1ba8dc641c2f4a8eee4.m4a?authSecret=000001830e0ae7e7184d0aaba245d819
护花使者,115569,http://m704.music.126.net/20220905225039/4674e42d8f0bc75f93ddb7afb1b3229c/jdyyaac/obj/w5rDlsOJwrLDjj7CmsOj/14096541975/45ca/fa8d/4360/4ed063d2090b2278b06f0fc830b6fe59.m4a?authSecret=000001830e0aea0509f20aaba0790123
故乡的云,83010,http://m804.music.126.net/20220905225040/becef2bc2d483ed191bbdd7cd79c78b8/jdyyaac/0559/070f/050f/236ba1b5ec0eeb7d18ac2e0996600015.m4a?authSecret=000001830e0aec0c0df30aa460ba09db
红尘来去一场梦,158923,http://m804.music.126.net/20220905225040/3a5a11fe1a7df6aba6e276ac7a49a8a5/jdyyaac/000c/560b/565e/7fb2762f52aa241467a3a4bf1cd01a1b.m4a?authSecret=000001830e0aee310d120aaba1270881
萍聚,259541,http://m704.music.126.net/20220905225041/c6aaf0ec5d1915b6de3c52bf404da1a1/jdyyaac/obj/w5rDlsOJwrLDjj7CmsOj/14889327995/3f0b/6993/28b0/1c7e59c014c479cfd3fa739844d4873f.m4a?authSecret=000001830e0af04a0a960aaba077eacf
背包,145644,http://m10.music.126.net/20220905225042/38f5045e330ecb80fde38d0ffe42c974/yyaac/obj/wonDkMOGw6XDiTHCmMOi/3047064651/7529/66bf/6072/37b2fa7076b96482af8a1084b02aa9f8.m4a
乡间的小路,194740,http://m10.music.126.net/20220905225042/30d79a8568ecca2f30b30f59d2d96b8c/yyaac/obj/wonDkMOGw6XDiTHCmMOi/3064207175/2962/1396/3a22/f8ee5adbeef7b79337cf9d1bf20f56fe.m4a
当爱已成往事,108452,http://m10.music.126.net/20220905225043/1845b86e68bf93fcf372f8bf89f54f0d/ymusic/e254/f226/89d0/9d005a28dbd115fa375f9f1d65b86a85.mp3
童年,109530,http://m804.music.126.net/20220905225043/7ef9944d69e1247557cf44ef10ccce41/jdyyaac/535c/030b/045c/d60bfbe8504a14b7444d36fc55228d2c.m4a?authSecret=000001830e0af93a115e0aaba09b13f2
回家,158027,http://m10.music.126.net/20220905225044/3b647414b52d895fbe7836aceefc1b18/yyaac/obj/wonDkMOGw6XDiTHCmMOi/3047299689/7ab3/926f/d280/fcbe194a68c8193fba9913259c0e9630.m4a
人间,300062,http://m804.music.126.net/20220905225045/b09cc28d1c15140449ec02c8a43c38f7/jdyyaac/560e/005c/0159/adc37e13ed76afe70bcd63d9518bb4b8.m4a?authSecret=000001830e0afe0d0a410aa4681a0523
